,index,policy,item_util,max_envy,imp_in_item_util
424,4,Max,0.13317824759106334,0.13327647524827213,0.9942731612086572
425,5,Max,0.24613591394317474,0.07696418346241525,1.4289548396154619
426,6,Max,0.03403463329514922,0.10265655638408251,0.4352310039593576
427,7,Max,0.15510688669506648,0.196134463411525,0.9263891580994535
428,8,Max,0.10992046284681063,0.1984790445204699,0.5798563965553444
429,9,Max,0.05268579965258189,0.184814436339039,0.47516385453404936
430,0,Expo-Fair,0.11309165928067108,0.06357462519204345,0.98130561708084
431,1,Expo-Fair,0.4231818176425346,0.0,2.3393415114122242
432,2,Expo-Fair,0.1688754924233269,0.1537707472110304,1.3009382690316733
433,3,Expo-Fair,0.3702264093498676,0.0,1.8377712573915268
434,4,Expo-Fair,0.15035633029314582,0.08175588542718018,1.1225201302193035
435,5,Expo-Fair,0.24613585454453818,0.0379922740767241,1.4289544947735904
436,6,Expo-Fair,0.03524760382652799,0.08421097609569708,0.45074233259824553
437,7,Expo-Fair,0.17244250135715208,0.1547902026871309,1.0299276006156672
438,8,Expo-Fair,0.11662887053266324,0.1575872266479291,0.6152448311252006
439,9,Expo-Fair,0.05825678443055336,0.16558015029575998,0.5254075751970557
440,0,NSW,0.14295364962275225,0.011828713773544774,1.2404205601835137
441,1,NSW,0.20319511633745257,0.012584312757187455,1.123258965171243
